,trad,bfm_all,bfm_tested,n_species,d_all,d_tested,d_species_selection,trad_empirical,d_lognormal_assumption
2008-39-1,1.8203319433406167,1.4485907556297386,2.0821587034093123,12,-0.37174118771087805,0.26182676006869565,-0.6335679477795737,2.1593496344605425,-0.33901769111992586
2032-59-9,-1.5974677896881468,-0.37626192508876183,-1.0417631773523013,5,1.221205864599385,0.5557046123358456,0.6655012522635395,-1.537602002101044,-0.059865787587102925
2032-65-7,-1.1451767492874114,-0.8915202189953552,-0.43330481523413283,6,0.25365653029205626,0.7118719340532786,-0.45821540376122233,-0.8860566476931632,-0.25912010159424825
206-44-0,-1.4816781776626056,-1.3054402381720212,-1.448241999064555,7,0.17623793949058442,0.03343617859805059,0.14280176089253382,-1.2999546995653972,-0.18172347809720835
2104-64-5,-1.9390613760135076,-1.7329286256982561,-1.3907062702579127,13,0.20613275031525147,0.5483551057555949,-0.3422223554403434,-1.4510381730829196,-0.488023202930588
21087-64-9,-1.095570900219097,0.02309800911998498,-1.4372648603026528,8,1.118668909339082,-0.3416939600835558,1.4603628694226378,-1.5760693126943277,0.48049841247523073
210880-92-5,-0.011162428210036102,-0.17794380840552249,0.08904993496580953,7,-0.16678138019548638,0.10021236317584563,-0.266993743371332,-0.029719165932020467,0.018556737721984365
21564-17-0,-1.7923344370130443,-1.372322701017132,-1.581814275316043,5,0.42001173599591235,0.21052016169700138,0.20949157429891097,-1.7052862780493447,-0.08704815896369955
2163-80-6,1.8484404331181734,1.306707980007599,1.7033104523255918,9,-0.5417324531105745,-0.14512998079258166,-0.39660247231799284,1.8279327924248914,0.020507640693282037
2164-07-0,1.796580558228394,1.2752403090237492,1.8158416743871557,5,-0.5213402492046448,0.019261116158761693,-0.5406013653634065,1.7565654117909268,0.040015146437467175
2164-17-2,0.8128238933969588,0.1619442300022762,1.1730003188530673,8,-0.6508796633946826,0.3601764254561085,-1.0110560888507911,1.269877611708765,-0.4570537183118061
2212-67-1,-0.14416244749134843,0.3211571539713922,0.4022231738988277,17,0.46531960146274065,0.5463856213901761,-0.0810660199274355,-0.38301328501265675,0.2388508375213083
22936-75-0,-0.8113131351748619,-0.46208903318916356,0.15913443430435947,5,0.34922410198569837,0.9704475694792214,-0.6212234674935231,0.21527856577602567,-1.0265917009508876
2310-17-0,-0.7493992969673811,-1.0509601072174313,-0.899317015414857,7,-0.3015608102500502,-0.14991771844747592,-0.1516430918025743,-0.9253476350792533,0.17594833811187227
23103-98-2,-1.1720389242896958,0.6062325631555178,-1.6293437920246148,5,1.7782714874452137,-0.45730486773491896,2.2355763551801324,-1.7409246440675903,0.5688857197778945
23184-66-9,-0.6082559757265691,-0.5930501682254258,-0.27526280767894445,19,0.01520580750114331,0.33299316804762463,-0.3177873605464813,-0.3708231871438712,-0.2374327885826979
23564-05-8,0.9023328300275855,0.3640642120235132,1.0723781289722054,7,-0.5382686180040723,0.17004529894461995,-0.7083139169486923,1.0077894168285209,-0.10545658680093539
24017-47-8,-1.4190802182699938,-1.232483659755073,-1.3399099019379828,5,0.18659655851492074,0.07917031633201099,0.10742624218290975,-1.5424930617879664,0.12341284351797266
2425-06-1,-1.5534556421053856,-1.4215738753137028,-1.4627650723448429,9,0.13188176679168273,0.09069056976054268,0.04119119703114005,-1.5003653354743474,-0.0530903066310382
2439-00-1,0.7426346650532325,0.46035661003963696,0.7764243161032497,5,-0.28227805501359554,0.03378965105001719,-0.31606770606361273,0.7862776511885636,-0.04364298613533113
2597-03-7,-2.2729613361998737,-1.865736173669112,-2.133686642288695,15,0.4072251625307617,0.13927469391117864,0.26795046861958305,-2.3345745664228295,0.06161323022295573
